Measurement results,,,,,,,,,,,,
MR_10_plates_template (1).skax,,,,,,,,,,,,
01/07/2024 16:22:41,,,,,,,,,,,,
 ,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M12,,,,,,,,,,,,
 ,,,,,,,,,,,,
E,1.7781,1.8384,1.8172,1.7996,1.8205,1.8196,1.8167,1.8139,1.7970,1.7896,1.7927,1.7670
F,1.7871,1.8448,1.8175,1.8131,1.8190,1.8030,1.8198,1.8329,1.8117,1.8003,1.8073,1.7643
G,1.7798,1.8057,1.7858,1.7991,1.7958,1.7918,1.8221,1.8129,1.8136,1.7858,1.8061,1.7721
H,1.8317,1.8014,1.7728,1.8097,1.7881,1.7938,1.7944,1.8095,1.7944,1.7977,1.7934,1.7866
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Std0289,Std0290,Std0291,Std0292,Std0293,Std0294,Std0295,Std0296,Std0297,Std0298,Std0299,Std0300
B,Std0301,Std0302,Std0303,Std0304,Std0305,Std0306,Std0307,Std0308,Std0309,Std0310,Std0311,Std0312
C,Std0313,Std0314,Std0315,Std0316,Std0317,Std0318,Std0319,Std0320,Std0321,Std0322,Std0323,Std0324
D,Std0325,Std0326,Std0327,Std0328,Std0329,Std0330,Std0331,Std0332,Std0333,Std0334,Std0335,Std0336
E,Std0337,Std0338,Std0339,Std0340,Std0341,Std0342,Std0343,Std0344,Std0345,Std0346,Std0347,Std0348
F,Std0349,Std0350,Std0351,Std0352,Std0353,Std0354,Std0355,Std0356,Std0357,Std0358,Std0359,Std0360
G,Std0361,Std0362,Std0363,Std0364,Std0365,Std0366,Std0367,Std0368,Std0369,Std0370,Std0371,Std0372
H,Std0373,Std0374,Std0375,Std0376,Std0377,Std0378,Std0379,Std0380,Std0381,Std0382,Std0383,Std0384
,,,,,,,,,,,,
,,,,,,,,,,,,
Wavelength: 570 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
M19,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,1.6865,1.6805,1.6934,1.6825,1.5994,1.7107,1.7196,1.6722,1.6220,1.6794,1.6657,1.7008
B,1.7198,1.7530,1.7488,1.7535,1.7317,1.8076,1.8005,1.7752,1.8082,1.7751,1.7597,1.7372
C,1.7933,1.7992,1.8692,1.7856,1.7805,1.7998,1.8373,1.8428,1.8183,1.7996,1.8045,1.7697
D,1.7791,1.7835,1.8338,1.8163,1.7906,1.7726,1.8455,1.8763,1.8244,1.8321,1.8083,1.8128
E,1.8021,1.8076,1.8403,1.8218,1.8263,1.8301,1.8204,1.8448,1.8378,1.8272,1.8178,1.7521
F,1.7907,1.8404,1.8364,1.8318,1.8187,1.8592,1.8349,1.8573,1.8490,1.8802,1.8477,1.7935
G,1.8487,1.8237,1.7940,1.8295,1.8147,1.8353,1.7557,1.8622,1.8480,1.8331,1.8568,1.8017
H,1.8067,1.8220,1.8301,1.8338,1.8264,1.8692,1.8586,1.8985,1.8304,1.8249,1.8145,1.8456
,,,,,,,,,,,,
