NO3_TDN_01,1,2,3,4,5,6,7,8,9,10,11,12
E,Std,Pot_t2_Std_R11_NF.1x,72_t2_NF.1x,15_t2_NF.1x,54_t2_NF.1x,61_t2_NF.1x,66_t2_NF.1x,extr,78_t2_NF.1x,48_t2_NF.1x,31_t2_NF.1x,24_t2_NF.1x
F,Std,Pot_t2_Std_R11_NF.1x,72_t2_NF.1x,15_t2_NF.1x,54_t2_NF.1x,61_t2_NF.1x,66_t2_NF.1x,extr,78_t2_NF.1x,48_t2_NF.1x,31_t2_NF.1x,24_t2_NF.1x
G,Std,Pot_t2_Std_R11_NF.1x,72_t2_NF.1x,15_t2_NF.1x,54_t2_NF.1x,61_t2_NF.1x,66_t2_NF.1x,extr,78_t2_NF.1x,48_t2_NF.1x,31_t2_NF.1x,24_t2_NF.1x
H,Std,Pot_t2_Std_R11_NF.1x,72_t2_NF.1x,15_t2_NF.1x,54_t2_NF.1x,61_t2_NF.1x,66_t2_NF.1x,extr,78_t2_NF.1x,48_t2_NF.1x,31_t2_NF.1x,24_t2_NF.1x
NO3_TDN_24,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,14_t2_NF.2x,76_t2_NF.2x,Pot_t2_Std_R7_NF.2x,9_t2_NF.2x,49_t2_NF.2x,12_t2_NF.2x,extr,27_t2_NF.2x,1_t2_NF.2x,26_t2_NF.2x,Pot_t2_Std_R10_NF.2x
B,Std,14_t2_NF.2x,76_t2_NF.2x,Pot_t2_Std_R7_NF.2x,9_t2_NF.2x,49_t2_NF.2x,12_t2_NF.2x,extr,27_t2_NF.2x,1_t2_NF.2x,26_t2_NF.2x,Pot_t2_Std_R10_NF.2x
C,Std,14_t2_NF.2x,76_t2_NF.2x,Pot_t2_Std_R7_NF.2x,9_t2_NF.2x,49_t2_NF.2x,12_t2_NF.2x,extr,27_t2_NF.2x,1_t2_NF.2x,26_t2_NF.2x,Pot_t2_Std_R10_NF.2x
D,Std,14_t2_NF.2x,76_t2_NF.2x,Pot_t2_Std_R7_NF.2x,9_t2_NF.2x,49_t2_NF.2x,12_t2_NF.2x,extr,27_t2_NF.2x,1_t2_NF.2x,26_t2_NF.2x,Pot_t2_Std_R10_NF.2x
E,Std,14_t2_NF.1x,76_t2_NF.1x,Pot_t2_Std_R7_NF.1x,9_t2_NF.1x,49_t2_NF.1x,12_t2_NF.1x,extr,27_t2_NF.1x,1_t2_NF.1x,26_t2_NF.1x,Pot_t2_Std_R10_NF.1x
F,Std,14_t2_NF.1x,76_t2_NF.1x,Pot_t2_Std_R7_NF.1x,9_t2_NF.1x,49_t2_NF.1x,12_t2_NF.1x,extr,27_t2_NF.1x,1_t2_NF.1x,26_t2_NF.1x,Pot_t2_Std_R10_NF.1x
G,Std,14_t2_NF.1x,76_t2_NF.1x,Pot_t2_Std_R7_NF.1x,9_t2_NF.1x,49_t2_NF.1x,12_t2_NF.1x,extr,27_t2_NF.1x,1_t2_NF.1x,26_t2_NF.1x,Pot_t2_Std_R10_NF.1x
H,Std,14_t2_NF.1x,76_t2_NF.1x,Pot_t2_Std_R7_NF.1x,9_t2_NF.1x,49_t2_NF.1x,12_t2_NF.1x,extr,27_t2_NF.1x,1_t2_NF.1x,26_t2_NF.1x,Pot_t2_Std_R10_NF.1x
NO3_TDN_25,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,59_t2_NF.2x,58_t2_NF.2x,65_t2_NF.2x,Pot_t2_SR8_NF.2x,Pot_t2_SR9_NF.2x,16_t2_NF.2x,extr,44_t2_NF.2x,25_t2_NF.2x,39_t2_NF.2x,68_t2_NF.2x
B,Std,59_t2_NF.2x,58_t2_NF.2x,65_t2_NF.2x,Pot_t2_SR8_NF.2x,Pot_t2_SR9_NF.2x,16_t2_NF.2x,extr,44_t2_NF.2x,25_t2_NF.2x,39_t2_NF.2x,68_t2_NF.2x
C,Std,59_t2_NF.2x,58_t2_NF.2x,65_t2_NF.2x,Pot_t2_SR8_NF.2x,Pot_t2_SR9_NF.2x,16_t2_NF.2x,extr,44_t2_NF.2x,25_t2_NF.2x,39_t2_NF.2x,68_t2_NF.2x
D,Std,59_t2_NF.2x,58_t2_NF.2x,65_t2_NF.2x,Pot_t2_SR8_NF.2x,Pot_t2_SR9_NF.2x,16_t2_NF.2x,extr,44_t2_NF.2x,25_t2_NF.2x,39_t2_NF.2x,68_t2_NF.2x
E,Std,59_t2_NF.1x,58_t2_NF.1x,65_t2_NF.1x,Pot_t2_SR8_NF.1x,Pot_t2_SR9_NF.1x,16_t2_NF.1x,extr,44_t2_NF.1x,25_t2_NF.1x,39_t2_NF.1x,68_t2_NF.1x
F,Std,59_t2_NF.1x,58_t2_NF.1x,65_t2_NF.1x,Pot_t2_SR8_NF.1x,Pot_t2_SR9_NF.1x,16_t2_NF.1x,extr,44_t2_NF.1x,25_t2_NF.1x,39_t2_NF.1x,68_t2_NF.1x
G,Std,59_t2_NF.1x,58_t2_NF.1x,65_t2_NF.1x,Pot_t2_SR8_NF.1x,Pot_t2_SR9_NF.1x,16_t2_NF.1x,extr,44_t2_NF.1x,25_t2_NF.1x,39_t2_NF.1x,68_t2_NF.1x
H,Std,59_t2_NF.1x,58_t2_NF.1x,65_t2_NF.1x,Pot_t2_SR8_NF.1x,Pot_t2_SR9_NF.1x,16_t2_NF.1x,extr,44_t2_NF.1x,25_t2_NF.1x,39_t2_NF.1x,68_t2_NF.1x
NO3_TDN_26,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,80_t2_NF.2x,79_t2_NF.2x,38_t2_NF.2x,50_t2_NF.2x,29_t2_NF.2x,34_t2_NF.2x,extr,43_t2_NF.2x,Pot_t2_Std_R10bis_CFE.2x,64_t2_CFE.2x,Pot_t2_SR10bis_CFE.2x
B,Std,80_t2_NF.2x,79_t2_NF.2x,38_t2_NF.2x,50_t2_NF.2x,29_t2_NF.2x,34_t2_NF.2x,extr,43_t2_NF.2x,Pot_t2_Std_R10bis_CFE.2x,64_t2_CFE.2x,Pot_t2_SR10bis_CFE.2x
C,Std,80_t2_NF.2x,79_t2_NF.2x,38_t2_NF.2x,50_t2_NF.2x,29_t2_NF.2x,34_t2_NF.2x,extr,43_t2_NF.2x,Pot_t2_Std_R10bis_CFE.2x,64_t2_CFE.2x,Pot_t2_SR10bis_CFE.2x
D,Std,80_t2_NF.2x,79_t2_NF.2x,38_t2_NF.2x,50_t2_NF.2x,29_t2_NF.2x,34_t2_NF.2x,extr,43_t2_NF.2x,Pot_t2_Std_R10bis_CFE.2x,64_t2_CFE.2x,Pot_t2_SR10bis_CFE.2x
E,Std,80_t2_NF.1x,79_t2_NF.1x,38_t2_NF.1x,50_t2_NF.1x,29_t2_NF.1x,34_t2_NF.1x,extr,43_t2_NF.1x,Pot_t2_Std_R10bis_CFE.1x,64_t2_CFE.1x,Pot_t2_SR10bis_CFE.1x
F,Std,80_t2_NF.1x,79_t2_NF.1x,38_t2_NF.1x,50_t2_NF.1x,29_t2_NF.1x,34_t2_NF.1x,extr,43_t2_NF.1x,Pot_t2_Std_R10bis_CFE.1x,64_t2_CFE.1x,Pot_t2_SR10bis_CFE.1x
G,Std,80_t2_NF.1x,79_t2_NF.1x,38_t2_NF.1x,50_t2_NF.1x,29_t2_NF.1x,34_t2_NF.1x,extr,43_t2_NF.1x,Pot_t2_Std_R10bis_CFE.1x,64_t2_CFE.1x,Pot_t2_SR10bis_CFE.1x
H,Std,80_t2_NF.1x,79_t2_NF.1x,38_t2_NF.1x,50_t2_NF.1x,29_t2_NF.1x,34_t2_NF.1x,extr,43_t2_NF.1x,Pot_t2_Std_R10bis_CFE.1x,64_t2_CFE.1x,Pot_t2_SR10bis_CFE.1x
NO3_TDN_27,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,69_t2_CFE.2x,75_t2_CFE.2x,17_t2_CFE.2x,73_t2_CFE.2x,Pot_t2_SR6_CFE.2x,Pot_t2_SR5_CFE.2x,extr,Pot_t2_Std_R8_CFE.2x,63_t2_CFE.2x,Pot_t2_Std_R12_CFE.2x,10_t2_CFE.2x
B,Std,69_t2_CFE.2x,75_t2_CFE.2x,17_t2_CFE.2x,73_t2_CFE.2x,Pot_t2_SR6_CFE.2x,Pot_t2_SR5_CFE.2x,extr,Pot_t2_Std_R8_CFE.2x,63_t2_CFE.2x,Pot_t2_Std_R12_CFE.2x,10_t2_CFE.2x
C,Std,69_t2_CFE.2x,75_t2_CFE.2x,17_t2_CFE.2x,73_t2_CFE.2x,Pot_t2_SR6_CFE.2x,Pot_t2_SR5_CFE.2x,extr,Pot_t2_Std_R8_CFE.2x,63_t2_CFE.2x,Pot_t2_Std_R12_CFE.2x,10_t2_CFE.2x
D,Std,69_t2_CFE.2x,75_t2_CFE.2x,17_t2_CFE.2x,73_t2_CFE.2x,Pot_t2_SR6_CFE.2x,Pot_t2_SR5_CFE.2x,extr,Pot_t2_Std_R8_CFE.2x,63_t2_CFE.2x,Pot_t2_Std_R12_CFE.2x,10_t2_CFE.2x
E,Std,69_t2_CFE.1x,75_t2_CFE.1x,17_t2_CFE.1x,73_t2_CFE.1x,Pot_t2_SR6_CFE.1x,Pot_t2_SR5_CFE.1x,extr,Pot_t2_Std_R8_CFE.1x,63_t2_CFE.1x,Pot_t2_Std_R12_CFE.1x,10_t2_CFE.1x
F,Std,69_t2_CFE.1x,75_t2_CFE.1x,17_t2_CFE.1x,73_t2_CFE.1x,Pot_t2_SR6_CFE.1x,Pot_t2_SR5_CFE.1x,extr,Pot_t2_Std_R8_CFE.1x,63_t2_CFE.1x,Pot_t2_Std_R12_CFE.1x,10_t2_CFE.1x
G,Std,69_t2_CFE.1x,75_t2_CFE.1x,17_t2_CFE.1x,73_t2_CFE.1x,Pot_t2_SR6_CFE.1x,Pot_t2_SR5_CFE.1x,extr,Pot_t2_Std_R8_CFE.1x,63_t2_CFE.1x,Pot_t2_Std_R12_CFE.1x,10_t2_CFE.1x
H,Std,69_t2_CFE.1x,75_t2_CFE.1x,17_t2_CFE.1x,73_t2_CFE.1x,Pot_t2_SR6_CFE.1x,Pot_t2_SR5_CFE.1x,extr,Pot_t2_Std_R8_CFE.1x,63_t2_CFE.1x,Pot_t2_Std_R12_CFE.1x,10_t2_CFE.1x
NO3_TDN_28,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,18_t2_CFE.2x,45_t2_CFE.2x,8_t2_CFE.2x,36_t2_CFE.2x,Pot_t2_Std_R13_CFE.2x,20_t2_CFE.2x,extr,33_t2_CFE.2x,Pot_t2_Std_R9_CFE.2x,23_t2_CFE.2x,30_t2_CFE.2x
B,Std,18_t2_CFE.2x,45_t2_CFE.2x,8_t2_CFE.2x,36_t2_CFE.2x,Pot_t2_Std_R13_CFE.2x,20_t2_CFE.2x,extr,33_t2_CFE.2x,Pot_t2_Std_R9_CFE.2x,23_t2_CFE.2x,30_t2_CFE.2x
C,Std,18_t2_CFE.2x,45_t2_CFE.2x,8_t2_CFE.2x,36_t2_CFE.2x,Pot_t2_Std_R13_CFE.2x,20_t2_CFE.2x,extr,33_t2_CFE.2x,Pot_t2_Std_R9_CFE.2x,23_t2_CFE.2x,30_t2_CFE.2x
D,Std,18_t2_CFE.2x,45_t2_CFE.2x,8_t2_CFE.2x,36_t2_CFE.2x,Pot_t2_Std_R13_CFE.2x,20_t2_CFE.2x,extr,33_t2_CFE.2x,Pot_t2_Std_R9_CFE.2x,23_t2_CFE.2x,30_t2_CFE.2x
E,Std,18_t2_CFE.1x,45_t2_CFE.1x,8_t2_CFE.1x,36_t2_CFE.1x,Pot_t2_Std_R13_CFE.1x,20_t2_CFE.1x,extr,33_t2_CFE.1x,Pot_t2_Std_R9_CFE.1x,23_t2_CFE.1x,30_t2_CFE.1x
F,Std,18_t2_CFE.1x,45_t2_CFE.1x,8_t2_CFE.1x,36_t2_CFE.1x,Pot_t2_Std_R13_CFE.1x,20_t2_CFE.1x,extr,33_t2_CFE.1x,Pot_t2_Std_R9_CFE.1x,23_t2_CFE.1x,30_t2_CFE.1x
G,Std,18_t2_CFE.1x,45_t2_CFE.1x,8_t2_CFE.1x,36_t2_CFE.1x,Pot_t2_Std_R13_CFE.1x,20_t2_CFE.1x,extr,33_t2_CFE.1x,Pot_t2_Std_R9_CFE.1x,23_t2_CFE.1x,30_t2_CFE.1x
H,Std,18_t2_CFE.1x,45_t2_CFE.1x,8_t2_CFE.1x,36_t2_CFE.1x,Pot_t2_Std_R13_CFE.1x,20_t2_CFE.1x,extr,33_t2_CFE.1x,Pot_t2_Std_R9_CFE.1x,23_t2_CFE.1x,30_t2_CFE.1x
NO3_TDN_29,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,Pot_t2_Std_R6_CFE.2x,47_t2_CFE.2x,32_t2_CFE.2x,7_t2_CFE.2x,19_t2_CFE.2x,35_t2_CFE.2x,extr,40_t2_CFE.2x,37_t2_CFE.2x,55_t2_CFE.2x,74_t2_CFE.2x
B,Std,Pot_t2_Std_R6_CFE.2x,47_t2_CFE.2x,32_t2_CFE.2x,7_t2_CFE.2x,19_t2_CFE.2x,35_t2_CFE.2x,extr,40_t2_CFE.2x,37_t2_CFE.2x,55_t2_CFE.2x,74_t2_CFE.2x
C,Std,Pot_t2_Std_R6_CFE.2x,47_t2_CFE.2x,32_t2_CFE.2x,7_t2_CFE.2x,19_t2_CFE.2x,35_t2_CFE.2x,extr,40_t2_CFE.2x,37_t2_CFE.2x,55_t2_CFE.2x,74_t2_CFE.2x
D,Std,Pot_t2_Std_R6_CFE.2x,47_t2_CFE.2x,32_t2_CFE.2x,7_t2_CFE.2x,19_t2_CFE.2x,35_t2_CFE.2x,extr,40_t2_CFE.2x,37_t2_CFE.2x,55_t2_CFE.2x,74_t2_CFE.2x
E,Std,Pot_t2_Std_R6_CFE.1x,47_t2_CFE.1x,32_t2_CFE.1x,7_t2_CFE.1x,19_t2_CFE.1x,35_t2_CFE.1x,extr,40_t2_CFE.1x,37_t2_CFE.1x,55_t2_CFE.1x,74_t2_CFE.1x
F,Std,Pot_t2_Std_R6_CFE.1x,47_t2_CFE.1x,32_t2_CFE.1x,7_t2_CFE.1x,19_t2_CFE.1x,35_t2_CFE.1x,extr,40_t2_CFE.1x,37_t2_CFE.1x,55_t2_CFE.1x,74_t2_CFE.1x
G,Std,Pot_t2_Std_R6_CFE.1x,47_t2_CFE.1x,32_t2_CFE.1x,7_t2_CFE.1x,19_t2_CFE.1x,35_t2_CFE.1x,extr,40_t2_CFE.1x,37_t2_CFE.1x,55_t2_CFE.1x,74_t2_CFE.1x
H,Std,Pot_t2_Std_R6_CFE.1x,47_t2_CFE.1x,32_t2_CFE.1x,7_t2_CFE.1x,19_t2_CFE.1x,35_t2_CFE.1x,extr,40_t2_CFE.1x,37_t2_CFE.1x,55_t2_CFE.1x,74_t2_CFE.1x
NO3_TDN_30,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,13_t2_CFE.2x,62_t2_CFE.2x,70_t2_CFE.2x,6_t2_CFE.2x,77_t2_CFE.2x,Pot_t2_SR10_CFE.2x,extr,51_t2_CFE.2x,46_t2_CFE.2x,Pot_t2_Std_R5_CFE.2x,2_t2_CFE.2x
B,Std,13_t2_CFE.2x,62_t2_CFE.2x,70_t2_CFE.2x,6_t2_CFE.2x,77_t2_CFE.2x,Pot_t2_SR10_CFE.2x,extr,51_t2_CFE.2x,46_t2_CFE.2x,Pot_t2_Std_R5_CFE.2x,2_t2_CFE.2x
C,Std,13_t2_CFE.2x,62_t2_CFE.2x,70_t2_CFE.2x,6_t2_CFE.2x,77_t2_CFE.2x,Pot_t2_SR10_CFE.2x,extr,51_t2_CFE.2x,46_t2_CFE.2x,Pot_t2_Std_R5_CFE.2x,2_t2_CFE.2x
D,Std,13_t2_CFE.2x,62_t2_CFE.2x,70_t2_CFE.2x,6_t2_CFE.2x,77_t2_CFE.2x,Pot_t2_SR10_CFE.2x,extr,51_t2_CFE.2x,46_t2_CFE.2x,Pot_t2_Std_R5_CFE.2x,2_t2_CFE.2x
E,Std,13_t2_CFE.1x,62_t2_CFE.1x,70_t2_CFE.1x,6_t2_CFE.1x,77_t2_CFE.1x,Pot_t2_SR10_CFE.1x,extr,51_t2_CFE.1x,46_t2_CFE.1x,Pot_t2_Std_R5_CFE.1x,2_t2_CFE.1x
F,Std,13_t2_CFE.1x,62_t2_CFE.1x,70_t2_CFE.1x,6_t2_CFE.1x,77_t2_CFE.1x,Pot_t2_SR10_CFE.1x,extr,51_t2_CFE.1x,46_t2_CFE.1x,Pot_t2_Std_R5_CFE.1x,2_t2_CFE.1x
G,Std,13_t2_CFE.1x,62_t2_CFE.1x,70_t2_CFE.1x,6_t2_CFE.1x,77_t2_CFE.1x,Pot_t2_SR10_CFE.1x,extr,51_t2_CFE.1x,46_t2_CFE.1x,Pot_t2_Std_R5_CFE.1x,2_t2_CFE.1x
H,Std,13_t2_CFE.1x,62_t2_CFE.1x,70_t2_CFE.1x,6_t2_CFE.1x,77_t2_CFE.1x,Pot_t2_SR10_CFE.1x,extr,51_t2_CFE.1x,46_t2_CFE.1x,Pot_t2_Std_R5_CFE.1x,2_t2_CFE.1x
NO3_TDN_31,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,28_t2_CFE.2x,60_t2_CFE.2x,4_t2_CFE.2x,56_t2_CFE.2x,22_t2_CFE.2x,Pot_t2_SR7_CFE.2x,extr,52_t2_CFE.2x,11_t2_CFE.2x,21_t2_CFE.2x,41_t2_CFE.2x
B,Std,28_t2_CFE.2x,60_t2_CFE.2x,4_t2_CFE.2x,56_t2_CFE.2x,22_t2_CFE.2x,Pot_t2_SR7_CFE.2x,extr,52_t2_CFE.2x,11_t2_CFE.2x,21_t2_CFE.2x,41_t2_CFE.2x
C,Std,28_t2_CFE.2x,60_t2_CFE.2x,4_t2_CFE.2x,56_t2_CFE.2x,22_t2_CFE.2x,Pot_t2_SR7_CFE.2x,extr,52_t2_CFE.2x,11_t2_CFE.2x,21_t2_CFE.2x,41_t2_CFE.2x
D,Std,28_t2_CFE.2x,60_t2_CFE.2x,4_t2_CFE.2x,56_t2_CFE.2x,22_t2_CFE.2x,Pot_t2_SR7_CFE.2x,extr,52_t2_CFE.2x,11_t2_CFE.2x,21_t2_CFE.2x,41_t2_CFE.2x
E,Std,28_t2_CFE.1x,60_t2_CFE.1x,4_t2_CFE.1x,56_t2_CFE.1x,22_t2_CFE.1x,Pot_t2_SR7_CFE.1x,extr,52_t2_CFE.1x,11_t2_CFE.1x,21_t2_CFE.1x,41_t2_CFE.1x
F,Std,28_t2_CFE.1x,60_t2_CFE.1x,4_t2_CFE.1x,56_t2_CFE.1x,22_t2_CFE.1x,Pot_t2_SR7_CFE.1x,extr,52_t2_CFE.1x,11_t2_CFE.1x,21_t2_CFE.1x,41_t2_CFE.1x
G,Std,28_t2_CFE.1x,60_t2_CFE.1x,4_t2_CFE.1x,56_t2_CFE.1x,22_t2_CFE.1x,Pot_t2_SR7_CFE.1x,extr,52_t2_CFE.1x,11_t2_CFE.1x,21_t2_CFE.1x,41_t2_CFE.1x
H,Std,28_t2_CFE.1x,60_t2_CFE.1x,4_t2_CFE.1x,56_t2_CFE.1x,22_t2_CFE.1x,Pot_t2_SR7_CFE.1x,extr,52_t2_CFE.1x,11_t2_CFE.1x,21_t2_CFE.1x,41_t2_CFE.1x
NO3_TDN_32,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,71_t2_CFE.2x,5_t2_CFE.2x,53_t2_CFE.2x,57_t2_CFE.2x,3_t2_CFE.2x,42_t2_CFE.2x,extr,67_t2_CFE.2x,Pot_t2_Std_R11_CFE.2x,72_t2_CFE.2x,15_t2_CFE.2x
B,Std,71_t2_CFE.2x,5_t2_CFE.2x,53_t2_CFE.2x,57_t2_CFE.2x,3_t2_CFE.2x,42_t2_CFE.2x,extr,67_t2_CFE.2x,Pot_t2_Std_R11_CFE.2x,72_t2_CFE.2x,15_t2_CFE.2x
C,Std,71_t2_CFE.2x,5_t2_CFE.2x,53_t2_CFE.2x,57_t2_CFE.2x,3_t2_CFE.2x,42_t2_CFE.2x,extr,67_t2_CFE.2x,Pot_t2_Std_R11_CFE.2x,72_t2_CFE.2x,15_t2_CFE.2x
D,Std,71_t2_CFE.2x,5_t2_CFE.2x,53_t2_CFE.2x,57_t2_CFE.2x,3_t2_CFE.2x,42_t2_CFE.2x,extr,67_t2_CFE.2x,Pot_t2_Std_R11_CFE.2x,72_t2_CFE.2x,15_t2_CFE.2x
E,Std,71_t2_CFE.1x,5_t2_CFE.1x,53_t2_CFE.1x,57_t2_CFE.1x,3_t2_CFE.1x,42_t2_CFE.1x,extr,67_t2_CFE.1x,Pot_t2_Std_R11_CFE.1x,72_t2_CFE.1x,15_t2_CFE.1x
F,Std,71_t2_CFE.1x,5_t2_CFE.1x,53_t2_CFE.1x,57_t2_CFE.1x,3_t2_CFE.1x,42_t2_CFE.1x,extr,67_t2_CFE.1x,Pot_t2_Std_R11_CFE.1x,72_t2_CFE.1x,15_t2_CFE.1x
G,Std,71_t2_CFE.1x,5_t2_CFE.1x,53_t2_CFE.1x,57_t2_CFE.1x,3_t2_CFE.1x,42_t2_CFE.1x,extr,67_t2_CFE.1x,Pot_t2_Std_R11_CFE.1x,72_t2_CFE.1x,15_t2_CFE.1x
H,Std,71_t2_CFE.1x,5_t2_CFE.1x,53_t2_CFE.1x,57_t2_CFE.1x,3_t2_CFE.1x,42_t2_CFE.1x,extr,67_t2_CFE.1x,Pot_t2_Std_R11_CFE.1x,72_t2_CFE.1x,15_t2_CFE.1x
