NO3_TDN_01,1,2,3,4,5,6,7,8,9,10,11,12
G,Std,90_t2_z1_NF.1x,85_t2_z2_NF.1x,92_t2_z1_NF.1x,94_t2_z1_NF.1x,91_t2_z1_NF.1x,95_t2_z1_NF.1x,extr,102_t2_z2_NF.1x,84_t2_z3_NF.1x,104_t2_z3_NF.1x,Field_t2_Std_R4_NF.1x
H,Std,90_t2_z1_NF.1x,85_t2_z2_NF.1x,92_t2_z1_NF.1x,94_t2_z1_NF.1x,91_t2_z1_NF.1x,95_t2_z1_NF.1x,extr,102_t2_z2_NF.1x,84_t2_z3_NF.1x,104_t2_z3_NF.1x,Field_t2_Std_R4_NF.1x
NO3_TDN_05,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,99_t2_z2_NF.2x,85_t2_z1_NF.2x,104_t2_z2_NF.2x,82_t2_z3_NF.2x,97_t2_z2_NF.2x,96_t2_z1_NF.2x,extr,98_t2_z1_NF.2x,99_t2_z1_NF.2x,103_t2_z2_NF.2x,Field_t2_Std_R5_NF.2x
B,Std,99_t2_z2_NF.2x,85_t2_z1_NF.2x,104_t2_z2_NF.2x,82_t2_z3_NF.2x,97_t2_z2_NF.2x,96_t2_z1_NF.2x,extr,98_t2_z1_NF.2x,99_t2_z1_NF.2x,103_t2_z2_NF.2x,Field_t2_Std_R5_NF.2x
C,Std,99_t2_z2_NF.2x,85_t2_z1_NF.2x,104_t2_z2_NF.2x,82_t2_z3_NF.2x,97_t2_z2_NF.2x,96_t2_z1_NF.2x,extr,98_t2_z1_NF.2x,99_t2_z1_NF.2x,103_t2_z2_NF.2x,Field_t2_Std_R5_NF.2x
D,Std,99_t2_z2_NF.2x,85_t2_z1_NF.2x,104_t2_z2_NF.2x,82_t2_z3_NF.2x,97_t2_z2_NF.2x,96_t2_z1_NF.2x,extr,98_t2_z1_NF.2x,99_t2_z1_NF.2x,103_t2_z2_NF.2x,Field_t2_Std_R5_NF.2x
E,Std,99_t2_z2_NF.1x,85_t2_z1_NF.1x,104_t2_z2_NF.1x,82_t2_z3_NF.1x,97_t2_z2_NF.1x,96_t2_z1_NF.1x,extr,98_t2_z1_NF.1x,99_t2_z1_NF.1x,103_t2_z2_NF.1x,Field_t2_Std_R5_NF.1x
F,Std,99_t2_z2_NF.1x,85_t2_z1_NF.1x,104_t2_z2_NF.1x,82_t2_z3_NF.1x,97_t2_z2_NF.1x,96_t2_z1_NF.1x,extr,98_t2_z1_NF.1x,99_t2_z1_NF.1x,103_t2_z2_NF.1x,Field_t2_Std_R5_NF.1x
G,Std,99_t2_z2_NF.1x,85_t2_z1_NF.1x,104_t2_z2_NF.1x,82_t2_z3_NF.1x,97_t2_z2_NF.1x,96_t2_z1_NF.1x,extr,98_t2_z1_NF.1x,99_t2_z1_NF.1x,103_t2_z2_NF.1x,Field_t2_Std_R5_NF.1x
H,Std,99_t2_z2_NF.1x,85_t2_z1_NF.1x,104_t2_z2_NF.1x,82_t2_z3_NF.1x,97_t2_z2_NF.1x,96_t2_z1_NF.1x,extr,98_t2_z1_NF.1x,99_t2_z1_NF.1x,103_t2_z2_NF.1x,Field_t2_Std_R5_NF.1x
NO3_TDN_06,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,81_t2_z2_NF.2x,90_t2_z2_NF.2x,82_t2_z1_NF.2x,99_t2_z3_NF.2x,89_t2_z2_NF.2x,88_t2_z1_NF.2x,extr,89_t2_z1_NF.2x,87_t2_z3_NF.2x,98_t2_z2_NF.2x,Field_t2_Std_R6_NF.2x
B,Std,81_t2_z2_NF.2x,90_t2_z2_NF.2x,82_t2_z1_NF.2x,99_t2_z3_NF.2x,89_t2_z2_NF.2x,88_t2_z1_NF.2x,extr,89_t2_z1_NF.2x,87_t2_z3_NF.2x,98_t2_z2_NF.2x,Field_t2_Std_R6_NF.2x
C,Std,81_t2_z2_NF.2x,90_t2_z2_NF.2x,82_t2_z1_NF.2x,99_t2_z3_NF.2x,89_t2_z2_NF.2x,88_t2_z1_NF.2x,extr,89_t2_z1_NF.2x,87_t2_z3_NF.2x,98_t2_z2_NF.2x,Field_t2_Std_R6_NF.2x
D,Std,81_t2_z2_NF.2x,90_t2_z2_NF.2x,82_t2_z1_NF.2x,99_t2_z3_NF.2x,89_t2_z2_NF.2x,88_t2_z1_NF.2x,extr,89_t2_z1_NF.2x,87_t2_z3_NF.2x,98_t2_z2_NF.2x,Field_t2_Std_R6_NF.2x
E,Std,81_t2_z2_NF.1x,90_t2_z2_NF.1x,82_t2_z1_NF.1x,99_t2_z3_NF.1x,89_t2_z2_NF.1x,88_t2_z1_NF.1x,extr,89_t2_z1_NF.1x,87_t2_z3_NF.1x,98_t2_z2_NF.1x,Field_t2_Std_R6_NF.1x
F,Std,81_t2_z2_NF.1x,90_t2_z2_NF.1x,82_t2_z1_NF.1x,99_t2_z3_NF.1x,89_t2_z2_NF.1x,88_t2_z1_NF.1x,extr,89_t2_z1_NF.1x,87_t2_z3_NF.1x,98_t2_z2_NF.1x,Field_t2_Std_R6_NF.1x
G,Std,81_t2_z2_NF.1x,90_t2_z2_NF.1x,82_t2_z1_NF.1x,99_t2_z3_NF.1x,89_t2_z2_NF.1x,88_t2_z1_NF.1x,extr,89_t2_z1_NF.1x,87_t2_z3_NF.1x,98_t2_z2_NF.1x,Field_t2_Std_R6_NF.1x
H,Std,81_t2_z2_NF.1x,90_t2_z2_NF.1x,82_t2_z1_NF.1x,99_t2_z3_NF.1x,89_t2_z2_NF.1x,88_t2_z1_NF.1x,extr,89_t2_z1_NF.1x,87_t2_z3_NF.1x,98_t2_z2_NF.1x,Field_t2_Std_R6_NF.1x
NO3_TDN_07,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,83_t2_z3_NF.2x,92_t2_z3_NF.2x,101_t2_z2_NF.2x,100_t2_z1_NF.2x,100_t2_z3_NF.2x,94_t2_z2_NF.2x,extr,93_t2_z1_NF.2x,81_t2_z3_NF.2x,102_t2_z3_NF.2x,Field_t2_Std_R7_NF.2x
B,Std,83_t2_z3_NF.2x,92_t2_z3_NF.2x,101_t2_z2_NF.2x,100_t2_z1_NF.2x,100_t2_z3_NF.2x,94_t2_z2_NF.2x,extr,93_t2_z1_NF.2x,81_t2_z3_NF.2x,102_t2_z3_NF.2x,Field_t2_Std_R7_NF.2x
C,Std,83_t2_z3_NF.2x,92_t2_z3_NF.2x,101_t2_z2_NF.2x,100_t2_z1_NF.2x,100_t2_z3_NF.2x,94_t2_z2_NF.2x,extr,93_t2_z1_NF.2x,81_t2_z3_NF.2x,102_t2_z3_NF.2x,Field_t2_Std_R7_NF.2x
D,Std,83_t2_z3_NF.2x,92_t2_z3_NF.2x,101_t2_z2_NF.2x,100_t2_z1_NF.2x,100_t2_z3_NF.2x,94_t2_z2_NF.2x,extr,93_t2_z1_NF.2x,81_t2_z3_NF.2x,102_t2_z3_NF.2x,Field_t2_Std_R7_NF.2x
E,Std,83_t2_z3_NF.1x,92_t2_z3_NF.1x,101_t2_z2_NF.1x,100_t2_z1_NF.1x,100_t2_z3_NF.1x,94_t2_z2_NF.1x,extr,93_t2_z1_NF.1x,81_t2_z3_NF.1x,102_t2_z3_NF.1x,Field_t2_Std_R7_NF.1x
F,Std,83_t2_z3_NF.1x,92_t2_z3_NF.1x,101_t2_z2_NF.1x,100_t2_z1_NF.1x,100_t2_z3_NF.1x,94_t2_z2_NF.1x,extr,93_t2_z1_NF.1x,81_t2_z3_NF.1x,102_t2_z3_NF.1x,Field_t2_Std_R7_NF.1x
G,Std,83_t2_z3_NF.1x,92_t2_z3_NF.1x,101_t2_z2_NF.1x,100_t2_z1_NF.1x,100_t2_z3_NF.1x,94_t2_z2_NF.1x,extr,93_t2_z1_NF.1x,81_t2_z3_NF.1x,102_t2_z3_NF.1x,Field_t2_Std_R7_NF.1x
H,Std,83_t2_z3_NF.1x,92_t2_z3_NF.1x,101_t2_z2_NF.1x,100_t2_z1_NF.1x,100_t2_z3_NF.1x,94_t2_z2_NF.1x,extr,93_t2_z1_NF.1x,81_t2_z3_NF.1x,102_t2_z3_NF.1x,Field_t2_Std_R7_NF.1x
NO3_TDN_08,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,81_t2_z1_NF.2x,98_t2_z3_NF.2x,103_t2_z1_NF.2x,86_t2_z1_NF.2x,88_t2_z3_NF.2x,89_t2_z3_NF.2x,extr,104_t2_z1_NF.2x,85_t2_z3_NF.2x,97_t2_z3_NF.2x,Field_t2_Std_R8_NF.2x
B,Std,81_t2_z1_NF.2x,98_t2_z3_NF.2x,103_t2_z1_NF.2x,86_t2_z1_NF.2x,88_t2_z3_NF.2x,89_t2_z3_NF.2x,extr,104_t2_z1_NF.2x,85_t2_z3_NF.2x,97_t2_z3_NF.2x,Field_t2_Std_R8_NF.2x
C,Std,81_t2_z1_NF.2x,98_t2_z3_NF.2x,103_t2_z1_NF.2x,86_t2_z1_NF.2x,88_t2_z3_NF.2x,89_t2_z3_NF.2x,extr,104_t2_z1_NF.2x,85_t2_z3_NF.2x,97_t2_z3_NF.2x,Field_t2_Std_R8_NF.2x
D,Std,81_t2_z1_NF.2x,98_t2_z3_NF.2x,103_t2_z1_NF.2x,86_t2_z1_NF.2x,88_t2_z3_NF.2x,89_t2_z3_NF.2x,extr,104_t2_z1_NF.2x,85_t2_z3_NF.2x,97_t2_z3_NF.2x,Field_t2_Std_R8_NF.2x
E,Std,81_t2_z1_NF.1x,98_t2_z3_NF.1x,103_t2_z1_NF.1x,86_t2_z1_NF.1x,88_t2_z3_NF.1x,89_t2_z3_NF.1x,extr,104_t2_z1_NF.1x,85_t2_z3_NF.1x,97_t2_z3_NF.1x,Field_t2_Std_R8_NF.1x
F,Std,81_t2_z1_NF.1x,98_t2_z3_NF.1x,103_t2_z1_NF.1x,86_t2_z1_NF.1x,88_t2_z3_NF.1x,89_t2_z3_NF.1x,extr,104_t2_z1_NF.1x,85_t2_z3_NF.1x,97_t2_z3_NF.1x,Field_t2_Std_R8_NF.1x
G,Std,81_t2_z1_NF.1x,98_t2_z3_NF.1x,103_t2_z1_NF.1x,86_t2_z1_NF.1x,88_t2_z3_NF.1x,89_t2_z3_NF.1x,extr,104_t2_z1_NF.1x,85_t2_z3_NF.1x,97_t2_z3_NF.1x,Field_t2_Std_R8_NF.1x
H,Std,81_t2_z1_NF.1x,98_t2_z3_NF.1x,103_t2_z1_NF.1x,86_t2_z1_NF.1x,88_t2_z3_NF.1x,89_t2_z3_NF.1x,extr,104_t2_z1_NF.1x,85_t2_z3_NF.1x,97_t2_z3_NF.1x,Field_t2_Std_R8_NF.1x
NO3_TDN_09,1,2,3,4,5,6,7,8,9,10,11,12
A,Std,102_t2_z1_CFE.2x,103_t2_z3_CFE.2x,86_t2_z2_CFE.2x,101_t2_z3_CFE.2x,84_t2_z1_CFE.2x,86_t2_z3_CFE.2x,extr,95_t2_z3_CFE.2x,83_t2_z2_CFE.2x,93_t2_z3_CFE.2x,Field_t2_Std_R1_CFE.2x
B,Std,102_t2_z1_CFE.2x,103_t2_z3_CFE.2x,86_t2_z2_CFE.2x,101_t2_z3_CFE.2x,84_t2_z1_CFE.2x,86_t2_z3_CFE.2x,extr,95_t2_z3_CFE.2x,83_t2_z2_CFE.2x,93_t2_z3_CFE.2x,Field_t2_Std_R1_CFE.2x
C,Std,102_t2_z1_CFE.2x,103_t2_z3_CFE.2x,86_t2_z2_CFE.2x,101_t2_z3_CFE.2x,84_t2_z1_CFE.2x,86_t2_z3_CFE.2x,extr,95_t2_z3_CFE.2x,83_t2_z2_CFE.2x,93_t2_z3_CFE.2x,Field_t2_Std_R1_CFE.2x
D,Std,102_t2_z1_CFE.2x,103_t2_z3_CFE.2x,86_t2_z2_CFE.2x,101_t2_z3_CFE.2x,84_t2_z1_CFE.2x,86_t2_z3_CFE.2x,extr,95_t2_z3_CFE.2x,83_t2_z2_CFE.2x,93_t2_z3_CFE.2x,Field_t2_Std_R1_CFE.2x
